Title,Concept,Difficulty,Acceptance,LeetCodeLink,popularity
Longest Palindromic Substring,Trees,Medium,28.90%,https://leetcode.com/problems/longest-palindromic-substring/,10980098
Longest Common Prefix,1-D Dynamic Programming,Easy,34.80%,https://leetcode.com/problems/longest-common-prefix/,10191594
Longest Valid Parentheses,Stack,Hard,27.60%,https://leetcode.com/problems/longest-valid-parentheses/,2535999
Maximal Rectangle,1-D Dynamic Programming,Hard,36.30%,https://leetcode.com/problems/maximal-rectangle/,1128476
Longest Consecutive Sequence,1-D Dynamic Programming,Hard,44.10%,https://leetcode.com/problems/longest-consecutive-sequence/,5612794
Max Points on a Line,1-D Dynamic Programming,Hard,16.70%,https://leetcode.com/problems/max-points-on-a-line/,1617164
Maximum Product Subarray,Arrays & Hashing,Medium,31.00%,https://leetcode.com/problems/maximum-product-subarray/,4798190
Longest Substring with At Most Two Distinct Characters,Two Pointers,Medium,48.70%,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,509829
Maximum Gap,1-D Dynamic Programming,Hard,34.60%,https://leetcode.com/problems/maximum-gap/,568577
Maximal Square,1-D Dynamic Programming,Medium,35.70%,https://leetcode.com/problems/maximal-square/,1693732
Sliding Window Maximum,Sliding Window,Hard,41.30%,https://leetcode.com/problems/sliding-window-maximum/,2850291
Encode and Decode Strings,1-D Dynamic Programming,Medium,30.50%,https://leetcode.com/problems/encode-and-decode-strings/,527356
Binary Tree Longest Consecutive Sequence,Trees,Medium,46.30%,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence/,289319
Longest Increasing Subsequence,1-D Dynamic Programming,Medium,42.10%,https://leetcode.com/problems/longest-increasing-subsequence/,3847444
Maximum Product of Word Lengths,1-D Dynamic Programming,Medium,50.40%,https://leetcode.com/problems/maximum-product-of-word-lengths/,390092
Create Maximum Number,1-D Dynamic Programming,Hard,26.50%,https://leetcode.com/problems/create-maximum-number/,224197
Maximum Size Subarray Sum Equals k,Two Pointers,Medium,46.40%,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k/,418960
Longest Increasing Path in a Matrix,2-D Dynamic Programming,Hard,42.50%,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,1152289
Longest Substring with At Most K Distinct Characters,Trees,Hard,43.00%,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,768200
Max Sum of Rectangle No Larger Than K,Two Pointers,Hard,36.60%,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k/,301062
Longest Absolute File Path,1-D Dynamic Programming,Medium,41.10%,https://leetcode.com/problems/longest-absolute-file-path/,352878
Decode String,1-D Dynamic Programming,Medium,48.50%,https://leetcode.com/problems/decode-string/,1686910
Longest Substring with At Least K Repeating Characters,Trees,Medium,40.40%,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/,585524
Longest Palindrome,1-D Dynamic Programming,Easy,49.80%,https://leetcode.com/problems/longest-palindrome/,1683890
Third Maximum Number,1-D Dynamic Programming,Easy,30.20%,https://leetcode.com/problems/third-maximum-number/,1864907
Maximum XOR of Two Numbers in an Array,Two Pointers,Medium,52.90%,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,366336
Longest Repeating Character Replacement,1-D Dynamic Programming,Medium,45.60%,https://leetcode.com/problems/longest-repeating-character-replacement/,2023262
Max Consecutive Ones,1-D Dynamic Programming,Easy,56.20%,https://leetcode.com/problems/max-consecutive-ones/,2718148
Max Consecutive Ones II,1-D Dynamic Programming,Medium,48.60%,https://leetcode.com/problems/max-consecutive-ones-ii/,335572
Longest Palindromic Subsequence,1-D Dynamic Programming,Medium,51.10%,https://leetcode.com/problems/longest-palindromic-subsequence/,997856
Longest Uncommon Subsequence I,1-D Dynamic Programming,Easy,57.20%,https://leetcode.com/problems/longest-uncommon-subsequence-i/,218973
Longest Uncommon Subsequence II,1-D Dynamic Programming,Medium,33.60%,https://leetcode.com/problems/longest-uncommon-subsequence-ii/,140204
Longest Word in Dictionary through Deleting,1-D Dynamic Programming,Medium,47.80%,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting/,328081
